"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C6","10uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","5",""
"C5","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"D1,D2","D","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3","GREEN","~","LED_THT:LED_D3.0mm","1",""
"D4","RED","~","LED_THT:LED_D3.0mm","1",""
"J1","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","1",""
"J2","BATT","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","INPUT","~","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1-AU_Horizontal","1",""
"J4","OUTPUT","~","Connector_Audio:Jack_6.35mm_Neutrik_NRJ6HM-1-AU_Horizontal","1",""
"JP1","Jumper_2_Open","~","","1",""
"R1","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R3,R6,RV2","10K","~","-- mixed values --","4",""
"R4,R7,R8","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R5","3.8K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV1,RV3","100K","~","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","2",""
"SW1","POW","https://www.nidec-components.com/e/catalog/switch/cas.pdf","Button_Switch_SMD:Nidec_Copal_CAS-120A","1",""
"SW2","FootSwitch","https://www.nidec-components.com/e/catalog/switch/cas.pdf","Button_Switch_SMD:Nidec_Copal_CAS-120A","1",""
"U1","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm","1",""
